participant_id,version,summary_ko
participant_RECORD_20250515__1_AUG001,v1,"본 참가자의 주요 감정은 ‘싫음’으로 분류되었습니다. 정서적으로는 부정적 반응이 나타났으나, 집중과 흥미 수준은 모두 높은 편으로 보입니다. 이는 감정적 부정 반응과 인지적 몰입 수준이 상반된 양상을 보이는 사례로 해석됩니다. 감정적 불쾌감이 존재함에도 과제 수행과 관련된 주의 집중이 유지된 것으로 보입니다."
participant_RECORD_20250515__1_AUG001,v2,"참가자는 ‘싫음’ 감정을 보고하였으나, 전반적인 뇌파 반응은 안정적인 수준으로 나타났습니다. 집중과 흥미는 높은 편이며, 스트레스는 낮은 수준으로 유지된 것으로 보입니다. 전반적으로 부정적 감정 인식에도 불구하고 인지적 안정과 몰입이 유지된 상태로 보입니다."
participant_RECORD_20250515__1_AUG001,v3,"‘싫음’ 감정이 관찰되었으나, 인지적 참여와 주의 집중은 높은 수준으로 유지된 것으로 해석됩니다. 후반 단계에서는 이완과 집중이 동시에 높게 나타나, 감정적 자극 속에서도 일정한 조절이 이루어진 것으로 보입니다. 흥미와 각성 또한 높은 편으로, 외부 자극에 대한 반응성과 주의 지속이 병행된 반응으로 해석됩니다. 이러한 결과는 정서적 부정 반응과 인지적 조절 체계 간의 상호작용이 안정적으로 작동한 것으로 보입니다."
participant_RECORD_20250515__1_AUG001,v4,"주요 감정은 ‘싫음’으로 분류됩니다. 스트레스는 낮은 편이며, 흥미와 집중은 높은 수준으로 유지된 것으로 보입니다. 이완은 초기에는 낮았으나 후반 단계에서 높게 나타난 것으로 해석됩니다. 각성은 전반적으로 높은 수준을 보입니다. 전반적으로 낮은 스트레스와 높은 집중이 동반된 안정적 상태로 평가됩니다."
participant_RECORD_20250515__1_AUG002,v1,"주요 감정은 ‘두려움’으로 분류되었으나, 집중과 흥미 수준은 전반적으로 높은 편으로 보입니다. 정서적 긴장은 낮은 편이며, 인지적 참여는 일정하게 유지된 것으로 해석됩니다. 감정적 불안 요인이 존재하더라도 주의 집중과 과제 수행이 안정적으로 유지된 것으로 보입니다."
participant_RECORD_20250515__1_AUG002,v2,"참가자는 ‘두려움’ 감정을 나타냈으나, 전반적인 스트레스 수준은 낮고 집중과 흥미는 높은 편으로 해석됩니다. 이완 지표가 마지막에 급격히 상승하며 급진적인 안정 과정이 이루어진 것으로 보입니다. 감정적 자극이 있었음에도 인지적 몰입과 정서적 안정이 함께 유지된 긍정적 반응으로 해석됩니다."
participant_RECORD_20250515__1_AUG002,v3,"‘두려움’ 감정 상태에서 인지적 집중과 흥미가 높은 수준으로 유지되어, 인지적 조절이 원활하게 작동한 것으로 해석됩니다. 후반 단계에서 이완과 각성이 동시에 높게 나타나, 정서적 긴장 완화와 집중의 공존이 확인됩니다. 이러한 반응은 두려움 자극 상황에서 인지적 통제 체계가 안정적으로 작동한 사례로 보입니다."
participant_RECORD_20250515__1_AUG002,v4,"주요 감정은 ‘두려움’으로 분류됩니다. 스트레스는 낮은 편이며, 집중과 흥미는 높은 수준으로 유지된 것으로 보입니다. 이완과 각성은 후반 단계에서 함께 높게 나타난 것으로 해석됩니다. 전반적으로 안정적이며 인지적 몰입이 유지된 상태로 보입니다."
participant_RECORD_20250515__1_AUG003,v1,"주요 감정은 ‘기쁨’으로 분류되었으며, 각성 및 집중 수준은 높은 편으로 나타났습니다. 이완 수준은 초반에는 낮았으나 후반 단계에서 높아지는 변화가 확인됩니다. 정서적으로는 긍정적 반응이지만, 흥미가 후반부에 다소 감소하여 감정적 고양과 인지적 안정 간의 차이가 나타난 것으로 해석됩니다."
participant_RECORD_20250515__1_AUG003,v2,"참가자는 ‘기쁨’ 상태에서 전반적으로 긍정적이고 안정된 반응을 보인 것으로 해석됩니다. 집중과 각성은 높은 수준으로 유지되며, 이완은 후반 단계에서 상승해 균형이 형성된 것으로 보입니다. 감정적 활력과 인지적 조절이 조화를 이루어 전반적인 심리적 안정 상태로 평가됩니다."
participant_RECORD_20250515__1_AUG003,v3,"‘기쁨’ 감정 상태에서 높은 각성과 집중이 관찰되었으며, 이는 정서적 활력과 몰입이 동반된 반응으로 해석됩니다. 후반 단계에서 이완이 상승하면서 정서적 안정과 인지적 조절이 병행된 흐름이 형성되었습니다. 감정적 고양과 인지적 안정이 순차적으로 조화된 패턴으로 보입니다."
participant_RECORD_20250515__1_AUG003,v4,"주요 감정은 ‘기쁨’으로 분류됩니다. 집중과 각성은 높은 수준이며, 스트레스는 낮은 편으로 보입니다. 이완은 후반 단계에서 상승하여 안정된 흐름이 나타납니다. 전반적으로 긍정적이며 조화로운 반응으로 해석됩니다."
participant_RECORD_20250515__1_AUG004,v1,"주요 감정은 ‘싫음’으로 분류되었으며, 이는 너무 싫은 감정이 허리까지 차오르는 수준으로 해석됩니다. 정서적으로는 부정적이지만, 집중과 흥미는 높은 편으로 나타나 상반된 반응이 관찰됩니다. 감정적 거부감 속에서도 인지적 몰입이 유지되어, 정서와 인지 반응 간의 분리가 이루어진 것으로 보입니다."
participant_RECORD_20250515__1_AUG004,v2,"참가자는 ‘싫음’ 감정을 경험하였으나, 그 강도는 너무 싫은 정도로 허리까지 차오르는 수준으로 해석됩니다. 전반적인 스트레스는 낮고, 집중과 흥미는 높은 편으로 안정된 인지 조절이 이루어진 것으로 보입니다. 감정적 자극에도 주의 집중이 지속되어 전반적으로 안정적이고 긍정적인 반응으로 평가됩니다."
participant_RECORD_20250515__1_AUG004,v3,"‘싫음’ 상태에서 정서적 강도는 너무 싫은 정도 였지만, 후반 단계에서 싫증나는 감정이 허리까지 차오르는 수준으로 조금 완화된 것으로 보입니다. 이완이 상승하고 집중이 유지되어, 정서적 자극에 대한 인지적 조절이 원활하게 작동한 것으로 해석됩니다. 정서적 부정 반응과 인지적 통제 체계가 균형적으로 작동한 안정적 흐름으로 보입니다."
participant_RECORD_20250515__1_AUG004,v4,"주요 감정은 ‘싫음’이며, 너무 싫은 감정이 허리까지 차오르는 수준으로 해석됩니다. 스트레스는 낮고, 집중과 흥미는 높은 수준으로 유지되었습니다. 이완은 후반 단계에서 상승하여 안정적인 조절 흐름이 나타납니다. 전반적으로 감정 강도는 완화되었으며, 인지적 몰입이 유지된 것으로 보입니다."
participant_RECORD_20250515__1_AUG005,v1,"주요 감정은 ‘화남’으로 분류되었으며, 이는 섭섭한 감정이 발목까지 차오르는 수준으로 해석됩니다. 정서적으로는 부정적 감정이 약하게 나타났으나, 집중과 각성은 높은 수준으로 유지되어 상반된 경향이 관찰됩니다. 감정의 강도는 낮지만 인지적 활동은 활발하여, 정서적 자극보다 과제 수행이 우세한 상태로 보입니다."
participant_RECORD_20250515__1_AUG005,v2,"참가자는 ‘화남’ 감정을 보였으나, 그 강도는 섭섭한 정도로 발목까지 차오르는 수준으로 해석됩니다. 스트레스는 낮고 집중과 각성은 높은 편으로, 인지적 안정이 잘 유지된 것으로 보입니다. 감정적 자극에도 불구하고 몰입과 조절이 이루어져 긍정적인 반응 흐름으로 해석됩니다."
participant_RECORD_20250515__1_AUG005,v3,"‘화남’ 상태는 섭섭한 감정이 발목까지 차오르는 수준으로 비교적 낮게 나타났습니다. 집중이 높게 유지되었고 스트레스는 낮은 것으로 보아, 정서적 긴장보다는 인지적 조절이 우세하게 작동한 것으로 해석됩니다. 전반적으로 감정적 자극이 약한 상태에서 주의집중이 강화된 안정적 흐름이 확인됩니다."
participant_RECORD_20250515__1_AUG005,v4,"주요 감정은 ‘화남’으로 분류됩니다. 감정 강도는 섭섭한 수준으로 발목까지 차오르는 정도로 해석됩니다. 스트레스는 낮고, 집중과 각성은 높은 편입니다. 전반적으로 감정 반응은 약하며, 인지적 안정이 유지된 상태로 보입니다."
participant_RECORD_20250515__1_AUG006,v1,"주요 감정은 ‘싫음’으로 분류되었으며, 이는 싫증나는 감정이 허리까지 차오르는 수준으로 해석됩니다. 정서적으로는 부정적인 반응이 있으나, 흥미와 집중은 높은 편으로 나타나 상반된 경향이 관찰됩니다. 감정적 거부감이 존재함에도 불구하고 인지적 몰입이 유지되어, 정서와 인지 간의 균형적 분리가 이루어진 것으로 보입니다."
participant_RECORD_20250515__1_AUG006,v2,"참가자는 ‘싫음’ 감정을 경험하였으나, 그 강도는 싫증나는 정도로 허리까지 차오르는 수준으로 해석됩니다. 스트레스는 낮고 집중과 흥미가 높게 유지되어, 안정된 인지적 조절이 이루어진 것으로 보입니다. 감정적 자극이 있었음에도 주의와 몰입이 지속되어 긍정적인 반응 흐름으로 평가됩니다."
participant_RECORD_20250515__1_AUG006,v3,"‘싫음’ 감정은 싫증나는 정도로 허리까지 차오르는 수준으로 유지되었습니다. 높은 집중을 보였으며, 감정적 자극을 조절하며 몰입 상태를 안정적으로 유지한 것으로 해석됩니다. 정서적 불쾌감과 인지적 통제 체계가 조화된 반응 흐름이 확인됩니다."
participant_RECORD_20250515__1_AUG006,v4,"주요 감정은 ‘싫음’으로 분류됩니다. 감정 강도는 싫증나는 수준으로 허리까지 차오르는 정도로 해석됩니다. 스트레스는 낮으며, 집중과 흥미는 높은 수준으로 유지되었습니다. 전반적으로 인지적 조절이 안정적으로 이루어진 상태로 보입니다."
participant_RECORD_20250515__1_AUG007,v1,"주요 감정은 ‘기쁨’으로 분류되었으며, 이는 편안한 감정이 무릎까지 차오르는 수준으로 해석됩니다. 정서적으로 긍정적이지만, 후반 단계에서 흥미는 낮아지고 집중은 매우 높게 유지되어 상반된 패턴이 확인됩니다. 감정적 안정 속에서도 인지적 몰입이 강화된 상태로 보입니다."
participant_RECORD_20250515__1_AUG007,v2,"참가자는 ‘기쁨’을 느끼고 있으며, 그 강도는 편안한 수준으로 무릎까지 차오르는 정도로 해석됩니다. 스트레스가 낮게 유지되어 안정적인 정서 흐름이 나타납니다. 집중이 매우 높게 유지되어 긍정적 몰입 상태로 평가됩니다."
participant_RECORD_20250515__1_AUG007,v3,"‘기쁨’ 감정은 편안한 수준으로 무릎까지 차오르는 정도로 유지되며, 전반적으로 안정적인 정서 흐름이 확인됩니다. 후반 단계에서 이완이 높고 집중이 매우 높아, 정서적 안정과 인지적 몰입이 조화를 이룬 상태로 해석됩니다. 긍정적 감정과 몰입이 동시에 지속된 자연스러운 플로우 상태로 보입니다."
participant_RECORD_20250515__1_AUG007,v4,"주요 감정은 ‘기쁨’으로 분류됩니다. 감정 강도는 편안한 수준으로 무릎까지 차오르는 정도로 해석됩니다. 스트레스는 낮고, 집중은 높은 수준으로 유지되었습니다. 후반에 갑작스러운 이완이 증가한 특징이 있습니다. 전반적으로 안정적이고 긍정적인 상태로 보입니다."
participant_RECORD_20250515__1_AUG008,v1,"주요 감정은 ‘놀람’으로 분류되었으며, 이는 깜짝 놀란 감정이 발목까지 차오르는 수준으로 해석됩니다. 정서적으로는 자극적인 반응이 나타났으며, 높은 집중이 유지되다가 후반에 이완이 급격히 높아지는 패턴이 확인됩니다. 놀람 반응 이후에도 인지적 안정이 빠르게 회복된 것으로 보입니다."
participant_RECORD_20250515__1_AUG008,v2,"참가자는 ‘놀람’을 경험하였으나, 그 강도는 깜짝 놀란 정도로 발목까지 차오르는 수준으로 해석됩니다. 스트레스는 낮고 이완은 마지막에 급격히 높아진 편으로, 전반적인 안정이 유지된 것으로 보입니다. 감정적 자극 후에도 주의 집중이 유지되어 긍정적인 회복 반응이 나타난 것으로 평가됩니다."
participant_RECORD_20250515__1_AUG008,v3,"‘놀람’ 감정은 깜짝 놀란 수준으로 발목까지 차오르는 정도로 나타났습니다. 후반 단계에서 이완이 높고 집중이 유지되어, 감정적 각성 이후 안정적 회복이 이루어진 흐름으로 해석됩니다. 이는 정서적 자극에 대한 조절 기제가 원활히 작동한 사례로 보입니다."
participant_RECORD_20250515__1_AUG008,v4,"주요 감정은 ‘놀람’으로 분류됩니다. 감정 강도는 깜짝 놀란 수준으로 발목까지 차오르는 정도로 해석됩니다. 스트레스는 낮고, 이완은 후반에 상승했으며, 집중은 일정하게 유지되었습니다. 전반적으로 자극 후 안정된 회복 반응이 나타난 것으로 보입니다."
participant_RECORD_20250515__1_AUG009,v1,"주요 감정은 ‘슬픔’으로 분류되었으며, 이는 절망적인 감정이 발목까지 차오르는 수준으로 해석됩니다. 이완은 초중반에 낮았으나 후반 단계에서만 급격히 상승한 것으로 보입니다. 정서적으로 부정적인 반응이 있었지만, 집중과 흥미는 전반적으로 높은 수준을 유지한 것으로 해석됩니다."
participant_RECORD_20250515__1_AUG009,v2,"참가자는 ‘슬픔’을 경험하였으나, 그 강도는 절망적인 수준이었지만 후반에는 발목까지 차오르는 정도로 낮아진 것으로 보입니다. 이완은 후반에만 급격히 상승하여 안정 회복이 이루어진 것으로 보입니다. 집중과 흥미가 전반적으로 높게 유지되어, 감정적 저하 속에서도 몰입이 지속된 긍정적 반응으로 해석됩니다."
participant_RECORD_20250515__1_AUG009,v3,"‘슬픔’ 감정은 절망적인 감정이 발목까지 차오르는 수준으로 나타났으며, 이완은 후반 단계에서만 급격히 상승한 것으로 보입니다. 전반적으로 집중과 흥미가 높은 수준으로 유지되어, 감정적 저하 속에서도 인지적 조절이 이루어진 것으로 해석됩니다. 이는 감정적 하강 이후 안정적 회복 흐름이 형성된 사례로 보입니다."
participant_RECORD_20250515__1_AUG009,v4,"주요 감정은 ‘슬픔’으로 분류됩니다. 감정 강도는 절망적인 수준으로 발목까지 차오르는 정도로 해석됩니다. 이완은 후반 단계에서만 급격히 상승하였으며, 집중과 흥미는 높은 수준으로 유지되었습니다. 전반적으로 부정적 감정 이후 안정적 회복이 이루어진 상태로 보입니다."
participant_RECORD_20250515__1_AUG010,v1,"주요 감정은 ‘놀람’으로 분류되었으며, 이는 긴장되는 감정이 온 몸을 가득 채운 수준으로 해석됩니다. 이완은 중반에 높았으나 후반 단계에서 급격히 감소한 것으로 보입니다. 중반에는 강한 각성과 몰입이 형성되었으나, 이후 감정적 긴장과 에너지 저하가 동반된 것으로 해석됩니다."
participant_RECORD_20250515__1_AUG010,v2,"참가자는 ‘놀람’을 경험하였으며, 그 강도는 긴장되는 수준으로 온 몸을 가득 채운 정도로 해석됩니다. 이완이 중반에 높았다가 후반에 급격히 낮아져 일시적 긴장 완화 후 피로가 나타난 것으로 보입니다.
전반적으로 감정적 자극이 컸으나, 일시적인 안정 구간이 존재한 점에서 일정한 조절 능력이 확인됩니다."
participant_RECORD_20250515__1_AUG010,v3,"‘놀람’ 감정은 긴장되는 수준으로 온 몸을 가득 채운 상태로 관찰되었습니다. 이완은 중반 구간에서 상승했다가 후반 단계에서 급격히 저하되는 역전된 흐름을 보였습니다. 이는 감정적 각성 이후 에너지 소모에 따른 안정성 저하로, 불균형한 정서 흐름으로 해석됩니다."
participant_RECORD_20250515__1_AUG010,v4,"주요 감정은 ‘놀람’으로 분류됩니다. 감정 강도는 긴장되는 수준으로 온 몸을 가득 채운 정도로 해석됩니다. 이완은 중반에 높았다가 후반에 급격히 낮아졌으며, 각성은 중반에 가장 높았습니다. 전반적으로 일시적 안정 이후 감정적 에너지 저하가 나타난 것으로 보입니다."
participant_RECORD_20250515__1_AUG011,v1,"주요 감정은 ‘놀람’으로 분류되었으며, 이는 긴장되는 감정이 무릎까지 차오르는 수준으로 해석됩니다. 이완은 전반적으로 보통 수준을 유지하였으나, 각성과 집중은 구간별로 큰 변동을 보였습니다. 중간 단계에서 인지적 활동이 급격히 낮아졌음에도, 후반에는 흥미와 집중이 다시 높아지는 상반된 흐름이 확인됩니다."
participant_RECORD_20250515__1_AUG011,v2,"참가자는 ‘놀람’을 경험하였으며, 그 강도는 긴장되는 수준으로 무릎까지 차오르는 정도로 해석됩니다. 이완은 일정하게 유지되며, 후반부에 흥미와 집중이 높아져 안정된 회복 반응이 관찰됩니다. 감정적 변동이 있었지만 결과적으로 주의와 몰입이 회복된 긍정적 흐름으로 보입니다."
participant_RECORD_20250515__1_AUG011,v3,"‘놀람’ 감정은 긴장되는 수준으로 무릎까지 차오르는 상태로 관찰되었습니다. 이완은 일정 수준으로 유지되었고, 중반에 인지적 저하가 발생한 뒤 후반에서 흥미와 집중이 회복되는 비선형적 흐름이 나타났습니다. 이는 감정적 자극 후 재몰입 과정이 일어난 복합적 반응으로 해석됩니다."
participant_RECORD_20250515__1_AUG011,v4,"주요 감정은 ‘놀람’으로 분류됩니다. 감정 강도는 긴장되는 수준으로 무릎까지 차오르는 정도로 해석됩니다. 이완은 전반적으로 보통이며, 중반에 인지적 저하 후 후반에서 집중과 흥미가 높아졌습니다. 전반적으로 자극 후 회복과 재집중이 이루어진 흐름으로 보입니다."
participant_RECORD_20250515__1_AUG012,v1,"주요 감정은 ‘화남’으로 분류되었으며, 이는 분노로 가득찬 감정이 발목까지 차오르는 수준으로 해석됩니다. 이완은 전 구간에서 낮게 유지되어, 긴장 상태가 지속된 것으로 보입니다. 흥미와 집중은 보통 수준으로 나타나, 감정적 긴장에 비해 인지적 몰입이 제한된 양상을 보입니다."
participant_RECORD_20250515__1_AUG012,v2,"참가자는 ‘화남’을 경험하였으나, 그 강도는 분노로 가득찬 수준이 발목까지 차오르는 정도로 해석됩니다. 이완이 낮고 스트레스가 높은 상태였으나, 집중과 참여가 일정 수준 유지된 점은 인지적 조절 의지를 시사합니다. 감정적 긴장이 지속되었지만, 일정한 주의 수준이 확보된 점에서 최소한의 안정 흐름이 나타납니다."
participant_RECORD_20250515__1_AUG012,v3,"‘화남’ 감정은 분노로 가득찬 수준이 발목까지 차오르는 상태로 관찰되었습니다. 이완은 전 구간에서 낮고 스트레스는 높게 유지되어, 전반적인 교감 신경계 항진 상태로 해석됩니다. 집중과 흥미가 일정 수준 유지되어, 감정적 긴장 속에서도 제한적 인지 조절이 이루어진 것으로 보입니다."
participant_RECORD_20250515__1_AUG012,v4,"주요 감정은 ‘화남’으로 분류됩니다. 감정 강도는 분노로 가득찬 수준으로 발목까지 차오르는 정도로 해석됩니다. 스트레스는 높고, 이완은 전반적으로 낮은 수준으로 유지되었습니다. 인지적 집중은 보통 수준이며, 긴장 상태가 지속된 것으로 보입니다."
participant_RECORD_20250515__1_AUG013,v1,"주요 감정은 ‘놀람’으로 분류되었으며, 이는 긴장되는 감정이 발목까지 차오르는 수준으로 해석됩니다. 초반에는 이완과 각성이 모두 높았으나, 중반에서 급격히 낮아졌다가 후반에 다시 보통 수준으로 회복된 것으로 보입니다. 감정적 각성과 안정 반응이 교차하며, 정서적 반응과 인지적 조절 간의 불균형이 일시적으로 나타난 것으로 해석됩니다."
